,text,date
0,no bro messi is the best bcz he won fifa the best award. 🤣 🤡,"Jan 18, 2024 · 10:53 PM UTC"
1,• Flopped at PSG ❌ • Knocked out of French Cup ❌ • Ghosted against Bayern in UCL ❌ • Lost US Open Cup final ❌ • 1 MLS goal all year ❌ • Hasn't played a match since August ❌  Result: FIFA The Best winner,"Jan 16, 2024 · 6:58 PM UTC"
2,🤣🤣🤣🤣but fifa the best and bdor are not?🤣🤣…. Clown 🤣,"Jan 18, 2024 · 10:49 PM UTC"
3,"Reasons why Messi didn’t go to the FIFA The Best ceremony:  Messi has started training for Inter Miami and travelling to London would have meant 3/4 days lost  He has to adjust to his new football calendar. He had some physical problems second half of the year and he wants to do a proper preseason (didn't have one last season) with a first match being played this week already  He takes preseason preparation very seriously, specially in such an important season for Inter Miami and of course with Argentina in the Copa America  [@GuillemBalague]","Jan 15, 2024 · 9:31 PM UTC"
4,Le premier et le seul joueur hors d’Europe à avoir remporté le Ballon d'Or  Le premier et le seul joueur hors d’Europe à avoir remporté le prix FIFA The Best  Le premier et le seul joueur hors d’Europe à faire partie de l'équipe de l'année de la FIFA.  LIONEL MESSI 🐐♾️,"Jan 17, 2024 · 11:05 PM UTC"
5,The most G/A in history (1065). The most collective trophies. The most Ballon d’Ors. The most FIFA The Best. The most European Golden Boots. The World Cup winner.  Goodnight! 😴,"Jan 15, 2024 · 10:49 PM UTC"
6,Ederson Ake Puyol Dias Dani Rodri Kdb Iniesta Messi Haaland Eto  Busquets is great no disrespect but 22/23 Rodri was unplayable. Id have understood if he won the ballondor or fifa the best.,"Jan 18, 2024 · 10:37 PM UTC"
7,Messi still hasn't posted anything about FIFA the best on Instagram.   He's tired of winning awards 😭😭,"Jan 17, 2024 · 10:29 PM UTC"
8,"It's been 3 days since Messi won FIFA The Best Award, and he hasn't even posted ONCE about it. He doesn't even care about the award, not even the least, where as his hater$ will go to de*th for it to be given to Haaland instead😂😭","Jan 18, 2024 · 2:38 PM UTC"
9,Factos fc was celebrating few years ago saying Messi can win Ballon d'Or but not FIFA The Best as Ballon d'Or is voted by journalist and FIFA The Best is voted by team captains and coaches.  Now same fanbase are crying after Messi won the most FIFA The Best because team captains and coaches voted for Messi to win it.  Keep crying until your last breath. You guys have still  Dubai dor to celebrate🤡😂😂😂,"Jan 18, 2024 · 5:09 PM UTC"
10,"What's more Painful is that Messi won it based on National team captains votes.... So evidently, Ronaldo's former team mates gave Messi his 8th Fifa the best.","Jan 18, 2024 · 10:20 PM UTC"
11,bro just Won a FIFA the Best and he hasn't posted about it😭😭  I don't think Messi realizes He's Messi.,"Jan 17, 2024 · 7:22 PM UTC"
12,"Osimehn wins man of the match, Messi wins FIFA the best, nothing shocks me again","Jan 18, 2024 · 10:10 PM UTC"
13,"- robbing the likes of Sneijder, Lewandowski, and Haaland of Ballon D'ors  - robbing Haaland of Fifa the Best  I have had enough of the corrupt establishment and mafia trying to shove this midget fraud down our throats","Jan 16, 2024 · 2:21 PM UTC"
14,"Ahap abu me sauki. Tunda yayi rigging world cup, ballon dor da Fifa The best akan idon ku shima wannan kudi ze biya kawai ah bashi.😂","Jan 18, 2024 · 10:07 PM UTC"
15,FIFA THE BEST 2022 : Lionel Messi motif  Coupe du Monde 2022 FIFA THE BEST 2023 : Lionel Messi motif Coupe du Monde 2022    😅😅😅😅😅😅😅😅😅😅😅,"Jan 16, 2024 · 1:04 AM UTC"
16,— Most Balloon d'Ors (8) — Most FIFA The Best/ POTY (8) — Most FIFA Fifpro XI appearances (17) — Most World Cup Golden Balls (2)  ♾️🐐  📸 Squawka Football,"Jan 15, 2024 · 10:02 PM UTC"
17,Lionel Messi in 2023:  👕 45 games ⚽️ 29 goals 🅰️ 12 assists 🅰️ Most assists Ligue 1 🎯 5 free kick goals 🏆 Ligue 1 🏆 Leagues Cup 🌟 Ballon d’Or 🌟 FIFA The Best 🌟 Laureus Sportsman of the Year 🏅 Most decorated player of all time,"Jan 17, 2024 · 5:01 AM UTC"
18,Srał nie płakał ballon dor należy do gazety a fifa the best do oragnizacji fify. W france football głosują tylko wybrani  dziennikarze a w fifa the best całe najważniejsze otoczenie piłkarskie (piłkarze trenerzy) czyli osoby które znają się na tym bardziej niż dziennikarze,"Jan 18, 2024 · 9:51 PM UTC"
19,Lionel Messi since turning 30:  ⚽️ 256 Goals 🎯 130 Assists 🏆 4 x League titles 🥇 3 x Ballon d’Or 🥇 3 x FIFA The Best 👟 2 x European Golden Shoe 🌍 1 x World Cup 🇦🇷 1 x Copa América 🇦🇷 1 x Finalissima ⭐️ 1 x World Cup Golden Ball ⭐️ 1 x Copa América Golden Ball ⭐️ 1 x Finalissima MOTM  🤯  via @footballontnt,"Jan 17, 2024 · 4:19 AM UTC"
20,Le premier et le seul joueur hors d’Europe à avoir remporté le Ballon d'Or  Le premier et le seul joueur hors d’Europe à avoir remporté le prix FIFA The Best  Le premier et le seul joueur hors d’Europe à faire partie de l'équipe de l'année de la FIFA.  LIONEL MESSI LE GOAT 🐐♾️,"Jan 18, 2024 · 11:34 AM UTC"
